
1	|	How is our financial performance versus analyst estimates	|	FIN	|	Comparison	|	Numeric	|	O	O	O	mea	mea	O	cmp	cmp
409	|	How many customers do we currently have in Austria	|	SALE	|	Lookup	|	Numeric	|	O	oper	grpby	O	O	O	O	O	B_where
410	|	How many customers are currently in Austria	|	SALE	|	Lookup	|	Numeric	|	O	oper	grpby	O	O	O	B_where
411	|	What is the number of customers that have bought IoT services in Mexico	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	grpby	O	O	B_where	B_where	O	O	B_where
412	|	What is our biggest cloud customer in Europe	|	SALE	|	Lookup	|	Company	|	O	O	O	argm	B_where	grpby	O	B_where
413	|	Who is the biggest company in the pipeline for Europe	|	SALE	|	Lookup	|	Company	|	O	O	O	argm	res	O	O	O	O	B_where
414	|	Which company in the on-premise pipeline has the biggest opportunity	|	SALE	|	Lookup	|	Company	|	O	res	O	O	B_where	O	O	O	argm	B_where
415	|	Which company in Asia keeps the biggest opportunity	|	SALE	|	Lookup	|	Company	|	O	res	O	B_where	O	O	argm	B_where
416	|	Which person has the most opportunities in his pipeline	|	SALE	|	Lookup	|	Person	|	O	res	O	O	argm	B_where	O	O	O
417	|	Which countries promise the biggest pipeline	|	SALE	|	Lookup	|	Location	|	O	res	O	O	argm	O
418	|	Which countries keep the pipeline with the biggest contract volume	|	SALE	|	Lookup	|	Location	|	O	res	O	O	O	O	O	argm	O	mea
419	|	Show the market unit with the biggest pipeline	|	SALE	|	Lookup	|	Location	|	O	O	res	res	O	O	argm	O
420	|	What is the total contract volume for HANA in the pipeline	|	SALE	|	Lookup	|	Numeric	|	O	O	O	O	O	mea	O	B_where	O	O	O
421	|	What is the selling growth rate of Analytics licenses	|	SALE	|	Lookup	|	Numeric	|	O	O	O	B_where	mea	mea	O	B_where	O
422	|	How is the development of sold Analytic licenses in the last 4 quarters	|	SALE	|	Lookup	|	Numeric	|	O	O	O	O	O	B_where	B_where	O	O	O	B_where	I_where	I_where
423	|	What are the top selling products in China	|	SALE	|	Lookup	|	Product	|	O	O	O	argm	B_where	res	O	B_where
424	|	What is the conversion rate to closed deals in India	|	SALE	|	Calculate	|	Numeric	|	O	O	O	mea	mea	O	B_where	O	O	B_where
425	|	Who is the salesmen that is responsible for Thyssen Krupp	|	SALE	|	Lookup	|	Person	|	O	O	O	res	O	O	O	O	B_where	I_where
426	|	Who is the account executive for Thyssen Krupp	|	SALE	|	Lookup	|	Person	|	O	O	O	res	res	O	B_where	I_where
427	|	For which persons is the sales volume greater than 1 million	|	SALE	|	Lookup	|	Person	|	O	O	res	O	O	B_where	mea	oper	O	cmp	cmp
428	|	How many deals have we won in this year	|	SALE	|	Lookup	|	Numeric	|	O	oper	O	O	O	B_where	O	B_where	I_where
429	|	What is the number of lost deals	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	B_where	O
430	|	What is the difference between lost deals and won deals	|	SALE	|	Comparison	|	Numeric	|	O	O	O	O	O	cmp	O	O	cmp	O
431	|	Show all sales which were booked in the last quarter	|	SALE	|	Lookup	|	Sale	|	O	O	B_where	O	O	B_where	O	O	B_where	I_where
432	|	What is the number of won deals in the last quarter	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	B_where	O	O	O	B_where	I_where
433	|	For how many persons is the sales volume greater than 1 million	|	SALE	|	Lookup	|	Numeric	|	O	O	oper	O	O	O	mea	mea	oper	O	cmp	cmp
434	|	How many new cloud deals were booked this year	|	SALE	|	Lookup	|	Numeric	|	O	oper	O	B_where	O	O	B_where	B_where	I_where
435	|	What is the number of new cloud bookings in the last quarter	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	O	B_where	B_where	O	O	B_where	I_where
436	|	How many new on-premise deals were closed per quarter	|	SALE	|	Lookup	|	Numeric	|	O	oper	O	B_where	O	O	B_where	O	grpby
437	|	Tell us how many cloud deals have we won per quarter in the last year	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	B_where	O	O	O	B_where	O	grpby	O	O	B_where	I_where
438	|	Which market units have closed the most cloud deals in this year	|	SALE	|	Lookup	|	Numeric	|	O	res	res	O	B_where	O	argm	B_where	O	O	B_where	I_where
439	|	Show the number of new cloud bookings per market unit	|	SALE	|	Lookup	|	Numeric	|	O	O	oper	O	O	B_where	B_where	O	grpby	grpby
440	|	Which region has booked the most on-premise deals in the past quarter	|	SALE	|	Lookup	|	Location	|	O	res	O	B_where	O	argm	B_where	O	O	O	B_where	I_where
441	|	In the last 4 months how many deals were closed	|	SALE	|	Lookup	|	Numeric	|	O	O	B_where	I_where	I_where	O	oper	O	O	B_where
442	|	For 2016 how many new cloud customers have we won	|	SALE	|	Lookup	|	Numeric	|	O	B_where	O	oper	O	B_where	grpby	O	O	B_where
443	|	Starting from Q1 2017 what are the sales numbers for North America	|	SALE	|	Lookup	|	Numeric	|	O	O	B_where	I_where	O	O	O	B_where	oper	O	B_where	I_where
444	|	Starting from the last two quarters how many deals were closed per market unit	|	SALE	|	Lookup	|	Numeric	|	O	O	O	B_where	I_where	I_where	O	oper	O	O	B_where	O	grpby	grpby
445	|	Which employee has closed the most deals in the last quarter	|	SALE	|	Lookup	|	Person	|	O	res	O	B_where	O	argm	O	O	O	B_where	I_where
446	|	What is the sales forecast in North America	|	SALE	|	Calculate	|	Numeric	|	O	O	O	mea	mea	O	B_where	I_where
447	|	Which region has the highest sales forecast	|	SALE	|	Calculate	|	Location	|	O	res	O	O	argm	mea	mea
448	|	Which country has the most opportunities in its pipeline	|	SALE	|	Lookup	|	Location	|	O	res	O	O	argm	B_where	O	O	O
449	|	How many salesmen are working in EMEA	|	SALE	|	Lookup	|	Numeric	|	O	oper	grpby	O	O	O	B_where
450	|	What is the number of salesmen in France	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	grpby	O	B_where
451	|	What was the average volume for sales in the last two quarters	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	mea	O	B_where	O	O	B_where	I_where	I_where
452	|	What is the number of sold cloud products in the last quarter	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	B_where	B_where	O	O	O	B_where	I_where
453	|	How many cloud products were sold this year	|	SALE	|	Lookup	|	Numeric	|	O	oper	B_where	O	O	B_where	B_where	I_where
454	|	What is the cloud share of our total revenue in this year	|	SALE	|	Calculate	|	Numeric	|	O	O	O	B_where	oper	O	O	O	mea	O	B_where	I_where
455	|	What is the number of closed deals per product	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	B_where	O	O	grpby
456	|	What is the volume of closed deals per region in this year	|	SALE	|	Lookup	|	Numeric	|	O	O	O	mea	O	B_where	O	O	grpby	O	B_where	I_where
457	|	How many salesmen are employed per region	|	SALE	|	Lookup	|	Numeric	|	O	oper	grpby	O	O	O	grpby
458	|	What is the number of employees per product	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	O	O	O	grpby
459	|	Show the top 3 countries with the most salesmen	|	SALE	|	Lookup	|	Location	|	O	O	argm	argm	res	O	O	argm	grpby
460	|	What is the difference in closed deals between USA and India	|	SALE	|	Comparison	|	Numeric	|	O	O	O	O	O	B_where	O	O	cmp	O	cmp
461	|	Show the number of closed deals per market unit	|	SALE	|	Lookup	|	Numeric	|	O	O	oper	O	B_where	O	O	grpby	grpby
462	|	How many open items do we have in the pipeline for Russia	|	SALE	|	Lookup	|	Numeric	|	O	oper	O	O	O	O	O	O	O	O	O	B_where
463	|	What are the numbers of closed deals between USA and Canada	|	SALE	|	Comparison	|	Numeric	|	O	O	O	oper	O	B_where	O	O	cmp	O	cmp
464	|	Which organization has more closed deals in North America USA or Canada	|	SALE	|	Comparison	|	Location	|	O	res	O	oper	B_where	O	O	B_where	I_where	cmp	O	cmp
465	|	Compare the number of representatives in Austria and Switzerland	|	SALE	|	Comparison	|	Numeric	|	O	O	oper	O	grpby	O	cmp	O	cmp
466	|	What is the average revenue for deals in Sweden and Norway	|	SALE	|	Lookup	|	Numeric	|	O	O	O	oper	mea	O	O	O	cmp	O	cmp
467	|	What is the average revenue for deals in Sweden compared to Norway	|	SALE	|	Comparison	|	Numeric	|	O	O	O	oper	mea	O	O	O	cmp	O	O	cmp
468	|	Which country in EMEA has the biggest contract volume on average	|	SALE	|	Lookup	|	Location	|	O	res	O	B_where	O	O	argm	O	mea	O	oper
469	|	Compare revenue for SAP HANA and SAP Digital Boardroom	|	SALE	|	Comparison	|	Numeric	|	O	mea	O	cmp	cmp	O	cmp	cmp	cmp
470	|	Which product generates more revenue in EMEA SAP HANA or SAP Digital Boardroom	|	SALE	|	Comparison	|	Product	|	O	res	O	oper	mea	O	B_where	cmp	cmp	O	cmp	cmp	cmp
471	|	Which region has more closed deals APJ or EMEA	|	SALE	|	Comparison	|	Location	|	O	res	O	oper	B_where	O	cmp	O	cmp
472	|	What is the difference in revenue between Spain and Italy in 2017	|	SALE	|	Comparison	|	Numeric	|	O	O	O	O	O	mea	O	cmp	O	cmp	O	B_where
473	|	Name the top market units with the biggest revenue growth rates in Q4 2016	|	SALE	|	Calculate	|	Location	|	O	O	argm	res	res	O	O	argm	mea	mea	mea	O	B_where	I_where
474	|	What is the revenue for the best representative in EMEA compared to the one in APJ	|	SALE	|	Comparison	|	Numeric	|	O	O	O	mea	O	O	argm	grpby	O	cmp	O	O	O	O	O	cmp
475	|	Compare the number of closed deals for the best representative and the worst	|	SALE	|	Comparison	|	Numeric	|	O	O	oper	O	B_where	O	O	O	cmp	grpby	O	O	cmp
476	|	What are the revenue growth rates for Todd Packer	|	SALE	|	Calculate	|	Numeric	|	O	O	O	mea	mea	mea	O	B_where	I_where
477	|	Which representative has had the biggest revenue growth rates in 2016	|	SALE	|	Calculate	|	Person	|	O	res	O	O	O	argm	mea	mea	mea	O	B_where
478	|	Compare the number of lost deals in Germany to France last quarter	|	SALE	|	Comparison	|	Numeric	|	O	O	oper	O	B_where	O	O	cmp	O	cmp	B_where	I_where
479	|	Which country has lost the most in the last year	|	SALE	|	Lookup	|	Location	|	O	res	O	B_where	O	argm	O	O	B_where	I_where
480	|	For each year in the last 4 years what was the product with the biggest revenue	|	SALE	|	Lookup	|	Product	|	O	O	grpby	O	O	B_where	I_where	I_where	O	O	O	res	O	O	argm	mea
481	|	For each quarter in the last 4 quarters which representative had the most closed deals	|	SALE	|	Lookup	|	Person	|	O	O	grpby	O	O	B_where	I_where	I_where	O	res	O	O	argm	B_where	O
482	|	Compare the number of representatives between Germany and USA	|	SALE	|	Comparison	|	Numeric	|	O	O	oper	O	grpby	O	cmp	O	cmp
483	|	What are the revenue growth rates for the Digital Boardroom since last year	|	SALE	|	Calculate	|	Numeric	|	O	O	O	mea	mea	mea	O	O	B_where	I_where	O	B_where	I_where
484	|	Which product was sold the most in the last quarter	|	SALE	|	Lookup	|	Product	|	O	res	O	B_where	O	argm	O	O	B_where	I_where
485	|	What is our top product with the biggest selling numbers	|	SALE	|	Lookup	|	Product	|	O	O	O	argm	res	O	O	argm	B_where	oper
486	|	Compare the selling numbers for SAP HR and SAP SuccessFactors	|	SALE	|	Comparison	|	Numeric	|	O	O	B_where	oper	O	cmp	cmp	O	cmp	cmp
487	|	What is the revenue for customer Audi	|	SALE	|	Lookup	|	Numeric	|	O	O	O	mea	O	grpby	B_where
488	|	Show the revenue for all customers in China	|	SALE	|	Lookup	|	Numeric	|	O	O	mea	O	O	grpby	O	B_where
489	|	Tell us the total revenue for all customers in Australia	|	SALE	|	Lookup	|	Numeric	|	O	O	O	O	mea	O	O	grpby	O	B_where
490	|	Show the total revenue for customer Porsche	|	SALE	|	Lookup	|	Numeric	|	O	O	O	mea	O	grpby	B_where
491	|	Show revenue for customers in APJ	|	SALE	|	Lookup	|	Numeric	|	O	mea	O	grpby	O	B_where
492	|	Show the total revenue for customers based in Austria	|	SALE	|	Lookup	|	Numeric	|	O	O	O	mea	O	grpby	O	O	B_where
493	|	Show the revenue per customer in Peru	|	SALE	|	Lookup	|	Numeric	|	O	O	mea	O	grpby	O	B_where
494	|	What is the revenue in Australia per customer	|	SALE	|	Lookup	|	Numeric	|	O	O	O	mea	O	B_where	O	grpby
495	|	Which customer has the highest revenue worldwide	|	SALE	|	Lookup	|	Company	|	O	res	O	O	argm	mea	O
496	|	Which customer in Switzerland has the highest cloud revenue	|	SALE	|	Lookup	|	Company	|	O	res	O	B_where	O	O	argm	B_where	mea
497	|	Which top five customers generate more than seven million in cloud revenue	|	SALE	|	Lookup	|	Company	|	O	argm	argm	res	O	oper	O	cmp	cmp	O	B_where	mea
498	|	How many customers are having revenues higher than 250 million US dollar	|	SALE	|	Lookup	|	Numeric	|	O	oper	grpby	O	O	mea	oper	O	cmp	cmp	O	O
499	|	Show the customer with the highest revenue in Poland	|	SALE	|	Lookup	|	Company	|	O	O	res	O	O	argm	mea	O	B_where
500	|	Tell me the names of the customers with more than one million in cloud revenue	|	SALE	|	Lookup	|	Company	|	O	O	O	O	O	O	res	O	oper	O	cmp	cmp	O	B_where	mea
501	|	Which are the customers with more revenue than fifty million	|	SALE	|	Lookup	|	Company	|	O	O	O	res	O	oper	mea	O	cmp	cmp
502	|	Show all customers that have an annually revenue of more than ten million	|	SALE	|	Lookup	|	Company	|	O	O	res	O	O	O	grpby	mea	O	oper	O	cmp	cmp
503	|	Which deal has the biggest volume in EMEA compared to APJ	|	SALE	|	Comparison	|	Sale	|	O	res	O	O	argm	mea	O	cmp	O	O	cmp
504	|	Which customer has generated the most revenue in America	|	SALE	|	Lookup	|	Company	|	O	res	O	O	O	argm	mea	O	B_where
505	|	Compare the contract volume for customer AT&T and Verizon	|	SALE	|	Comparison	|	Numeric	|	O	O	O	mea	O	O	cmp	O	cmp
506	|	What was the revenue for Samsung between Q4 2016 and Q4 2017	|	SALE	|	Comparison	|	Numeric	|	O	O	O	mea	O	B_where	O	cmp	cmp	O	cmp	cmp
507	|	Show all employees with revenue growth rates of more than 5 percent	|	SALE	|	Calculate	|	Person	|	O	O	res	O	mea	mea	mea	O	oper	O	cmp	O
508	|	Which salesman has the highest share of our total revenue	|	SALE	|	Calculate	|	Person	|	O	res	O	O	argm	oper	O	O	O	mea
509	|	What is the difference between closed and lost deals for this quarter	|	SALE	|	Comparison	|	Numeric	|	O	O	O	O	O	cmp	O	cmp	O	O	B_where	I_where
510	|	Which region has more lost deals than closed	|	SALE	|	Comparison	|	Location	|	O	res	O	oper	cmp	O	O	cmp
511	|	What is the headcount for North America	|	HR	|	Lookup	|	Numeric	|	O	O	O	mea	O	B_where	I_where
512	|	How many people are currently employed in Brazil	|	HR	|	Lookup	|	Numeric	|	O	oper	O	O	O	O	O	B_where
513	|	How many people are working for SAP in Brazil	|	HR	|	Lookup	|	Numeric	|	O	oper	O	O	O	O	O	O	B_where
514	|	How many people are employed in Israel	|	HR	|	Lookup	|	Numeric	|	O	oper	O	O	O	O	B_where
515	|	What is the number of employed people in Israel	|	HR	|	Lookup	|	Numeric	|	O	O	O	oper	O	O	O	O	B_where
516	|	What is the employee number for DACH	|	HR	|	Lookup	|	Numeric	|	O	O	O	O	oper	O	B_where
517	|	How many FTE are working in DACH	|	HR	|	Lookup	|	Numeric	|	O	oper	mea	O	O	O	B_where
518	|	How many people are working in Palo Alto	|	HR	|	Lookup	|	Numeric	|	O	oper	O	O	O	O	B_where	I_where
519	|	How many people are working for our cloud products	|	HR	|	Lookup	|	Numeric	|	O	oper	O	O	O	O	O	B_where	O
520	|	What does the headcount trend look like over the last four quarters	|	HR	|	Lookup	|	Numeric	|	O	O	O	mea	O	O	O	O	O	B_where	I_where	I_where
521	|	What did the development of the headcount look like in the past four quarters	|	HR	|	Lookup	|	Numeric	|	O	O	O	O	O	O	mea	O	O	O	O	B_where	I_where	I_where
522	|	Show the headcount trend for the last four quarters	|	HR	|	Lookup	|	Numeric	|	O	O	mea	O	O	O	B_where	I_where	I_where
523	|	What is the amount of people working in the research and development department	|	HR	|	Lookup	|	Numeric	|	O	O	O	oper	O	O	O	O	O	B_where	I_where	I_where	O
524	|	How has the headcount developed in the last two years	|	HR	|	Lookup	|	Numeric	|	O	O	O	mea	O	O	O	B_where	I_where	I_where
525	|	Show us the development of our headcount in the last four quarters	|	HR	|	Lookup	|	Numeric	|	O	O	O	O	O	O	mea	O	O	B_where	I_where	I_where
526	|	How many people are currently working at S4	|	HR	|	Lookup	|	Numeric	|	O	oper	O	O	O	O	O	B_where
527	|	What is the average fully loaded cost rate in EMEA	|	HR	|	Calculate	|	Numeric	|	O	O	O	oper	mea	mea	mea	mea	O	B_where
528	|	What is the headcount for America in Q1 2017	|	HR	|	Lookup	|	Numeric	|	O	O	O	mea	O	B_where	O	B_where	I_where
529	|	What is the total headcount plan for USA from 2017 to 2019	|	HR	|	Lookup	|	Numeric	|	O	O	O	O	mea	O	O	B_where	O	B_where	I_where	I_where
530	|	How is the employee satisfaction by region	|	HR	|	Lookup	|	Numeric	|	O	O	O	O	mea	O	grpby
531	|	How is the employee satisfaction by organization	|	HR	|	Lookup	|	Numeric	|	O	O	O	O	mea	O	grpby
532	|	Which locations have the highest employee satisfaction	|	HR	|	Lookup	|	Location	|	O	res	O	O	argm	O	mea
533	|	Which location has the happiest employees	|	HR	|	Lookup	|	Location	|	O	res	O	O	argm	O
534	|	For which region is the employee satisfaction the highest	|	HR	|	Lookup	|	Location	|	O	O	res	O	O	O	mea	O	argm
535	|	In which locations is the employee satisfaction the highest	|	HR	|	Lookup	|	Location	|	O	O	res	O	O	O	mea	O	argm
536	|	In which locations is the employee satisfaction below 95 percent	|	HR	|	Lookup	|	Location	|	O	O	res	O	O	O	mea	oper	cmp	cmp
537	|	How many sales people are working in North America	|	HR	|	Lookup	|	Numeric	|	O	oper	B_where	O	O	O	O	B_where	I_where
538	|	How many people are working in North America for the sales department	|	HR	|	Lookup	|	Numeric	|	O	oper	O	O	O	O	B_where	I_where	O	O	B_where	O
539	|	How many people is Dwight Schrute managing	|	HR	|	Lookup	|	Numeric	|	O	oper	O	O	B_where	I_where	mea
540	|	How many people are managed by Dwight Schrute	|	HR	|	Lookup	|	Numeric	|	O	oper	O	O	mea	O	B_where	I_where
541	|	What is the number of employees that are managed by Michael Scott	|	HR	|	Lookup	|	Numeric	|	O	O	O	oper	O	O	O	O	mea	O	B_where	I_where
542	|	How many employees is Michael Scott managing	|	HR	|	Lookup	|	Numeric	|	O	oper	O	O	B_where	I_where	mea
543	|	What is the average wage for employees in EMEA	|	HR	|	Lookup	|	Numeric	|	O	O	O	oper	mea	O	O	O	B_where
544	|	What is the average wage for managers in APJ	|	HR	|	Lookup	|	Numeric	|	O	O	O	oper	mea	O	B_where	O	B_where
545	|	What does our salary structure for employees in Germany look like based on their position	|	HR	|	Lookup	|	Numeric	|	O	O	O	mea	mea	O	O	O	B_where	O	O	O	O	O	grpby
546	|	Based on the salary level what does the cost structure look like in Italy	|	HR	|	Lookup	|	Numeric	|	O	O	O	grpby	grpby	O	O	O	mea	mea	O	O	O	B_where
547	|	What is the employee satisfaction for Palo Alto compared to Newtown Square	|	HR	|	Comparison	|	Numeric	|	O	O	O	O	mea	O	cmp	cmp	O	O	cmp	cmp
548	|	Which development units have the most employees	|	HR	|	Lookup	|	Person	|	O	res	res	O	O	argm	O
549	|	Which market units had the highest employee growth rates in the last year	|	HR	|	Calculate	|	Location	|	O	res	res	O	O	argm	mea	mea	mea	O	O	B_where	I_where
550	|	What is the share of early talents in Walldorf	|	HR	|	Calculate	|	Numeric	|	O	O	O	oper	O	B_where	I_where	O	B_where
551	|	Which country has the highest share of early talents	|	HR	|	Calculate	|	Location	|	O	res	O	O	argm	oper	O	B_where	I_where
552	|	What is the average number of learning completions across the company	|	HR	|	Lookup	|	Numeric	|	O	O	O	oper	oper	O	mea	O	O	O	O
553	|	How many online courses has an employee completed on average	|	HR	|	Lookup	|	Numeric	|	O	oper	O	mea	O	O	O	O	O	oper
554	|	How many people were hired in the last quarter	|	HR	|	Lookup	|	Numeric	|	O	oper	O	O	B_where	O	O	B_where	I_where
555	|	Which country has hired the most people in the last quarter	|	HR	|	Lookup	|	Location	|	O	res	O	B_where	O	argm	O	O	O	B_where	I_where
556	|	Which are the 5 biggest locations based on their headcount	|	HR	|	Lookup	|	Location	|	O	O	O	argm	argm	res	O	O	O	mea
557	|	Which are the top 3 locations based on the number of employees	|	HR	|	Lookup	|	Location	|	O	O	O	argm	argm	res	O	O	O	oper	O	O
558	|	Which locations have the highest employee fluctuation	|	HR	|	Calculate	|	Location	|	O	res	O	O	argm	O	mea
559	|	For which location is the employee fluctuation rate the highest	|	HR	|	Calculate	|	Location	|	O	O	res	O	O	O	mea	mea	O	argm
560	|	Which location has had the highest fluctuation last year	|	HR	|	Calculate	|	Location	|	O	res	O	O	O	argm	mea	B_where	I_where
561	|	Which locations have more than 10 thousand employees	|	HR	|	Lookup	|	Location	|	O	res	O	oper	O	cmp	cmp	O
562	|	What is the percentage of women in management positions	|	HR	|	Calculate	|	Numeric	|	O	O	O	oper	O	B_where	O	B_where	I_where
563	|	How many women are having a leadership position	|	HR	|	Lookup	|	Numeric	|	O	oper	B_where	O	O	O	B_where	I_where
564	|	What is the share of women in leadership positions	|	HR	|	Calculate	|	Numeric	|	O	O	O	oper	O	B_where	O	B_where	I_where
565	|	How many women are working as a manager in Germany	|	HR	|	Lookup	|	Numeric	|	O	oper	B_where	O	O	O	O	B_where	O	B_where
566	|	In which country is the percentage of women in management positions the highest	|	HR	|	Calculate	|	Location	|	O	O	res	O	O	oper	O	B_where	O	B_where	I_where	O	argm
567	|	What is the number of women that are having a leadership position in North America	|	HR	|	Lookup	|	Numeric	|	O	O	O	oper	O	B_where	O	O	O	O	B_where	I_where	O	B_where	I_where
568	|	What is the whole amount of women in leader positions across the company	|	HR	|	Lookup	|	Numeric	|	O	O	O	O	oper	O	B_where	O	B_where	I_where	O	O	O
569	|	What is the stake of women in SAP	|	HR	|	Calculate	|	Numeric	|	O	O	O	oper	O	B_where	O	O
570	|	SAP has employed how many men	|	HR	|	Lookup	|	Numeric	|	O	O	O	O	oper	B_where
571	|	How many men are employed at SAP	|	HR	|	Lookup	|	Numeric	|	O	oper	B_where	O	O	O	O
572	|	How many women are working at SAP compared to men	|	HR	|	Comparison	|	Numeric	|	O	oper	cmp	O	O	O	O	O	O	cmp
573	|	Compared to men how many women are employed at SAP	|	HR	|	Comparison	|	Numeric	|	O	O	cmp	O	oper	cmp	O	O	O	O
574	|	What is the share of women in leadership positions compared to men	|	HR	|	Comparison	|	Numeric	|	O	O	O	oper	O	B_where	O	O	O	O	O	O
575	|	What is the difference between men and women in management positions	|	HR	|	Comparison	|	Numeric	|	O	O	O	O	O	cmp	O	cmp	O	B_where	I_where
576	|	Tell me the stake of women with managerial responsibility compared to men	|	HR	|	Comparison	|	Numeric	|	O	O	O	oper	O	cmp	O	B_where	I_where	O	O	cmp
577	|	How many women have management tasks in Indonesia	|	HR	|	Lookup	|	Numeric	|	O	oper	B_where	O	B_where	I_where	O	B_where
578	|	Which countries have the highest employee growth rates	|	HR	|	Calculate	|	Location	|	O	res	O	O	argm	mea	mea	mea
579	|	In which region is the number of employees growing	|	HR	|	Calculate	|	Location	|	O	O	res	O	O	oper	O	O	mea
580	|	How strong is the number of employees growing in Sweden	|	HR	|	Calculate	|	Numeric	|	O	O	O	O	oper	O	O	mea	O	B_where
581	|	Is the headcount increasing or decreasing for Spain	|	HR	|	Calculate	|	Numeric	|	O	O	mea	cmp	O	cmp	O	B_where
582	|	Which location has the fewest number of people employed	|	HR	|	Lookup	|	Location	|	O	res	O	O	argm	oper	O	O	O
583	|	In which country is the average wage per employee the lowest	|	HR	|	Lookup	|	Location	|	O	O	res	O	O	oper	mea	O	O	O	argm
584	|	Which country has the highest average wage per employee	|	HR	|	Lookup	|	Location	|	O	res	O	O	argm	oper	mea	O	O
585	|	What is our monthly spend for external workforce	|	HR	|	Lookup	|	Numeric	|	O	O	O	grpby	mea	O	B_where	I_where
586	|	In which department is the monthly spend for external services the highest	|	HR	|	Lookup	|	Person	|	O	O	res	O	O	grpby	mea	O	B_where	I_where	O	argm
587	|	Which country has the highest spend for consulting services	|	HR	|	Lookup	|	Numeric	|	O	res	O	O	argm	mea	O	B_where	I_where
588	|	How high is the spend for non billable services per month	|	HR	|	Lookup	|	Numeric	|	O	O	O	O	mea	O	B_where	I_where	I_where	O	grpby
589	|	What is the fastest growing location in India	|	HR	|	Calculate	|	Location	|	O	O	O	argm	mea	res	O	B_where
590	|	What is the fastest growing country	|	HR	|	Calculate	|	Location	|	O	O	O	argm	mea	res
591	|	Which regions are growing the fastest	|	HR	|	Calculate	|	Location	|	O	res	O	mea	O	argm
592	|	Which locations have the highest fluctuation rates	|	HR	|	Calculate	|	Location	|	O	res	O	O	argm	mea	mea
593	|	In which region is the fluctuation rate the lowest	|	HR	|	Calculate	|	Location	|	O	O	res	O	O	mea	mea	O	argm
594	|	What is the difference between hired people in Germany and North America	|	HR	|	Comparison	|	Numeric	|	O	O	O	O	O	B_where	O	O	cmp	O	cmp	cmp
595	|	What is the spend on external workforce in the last quarter	|	HR	|	Lookup	|	Numeric	|	O	O	O	mea	O	B_where	I_where	O	O	B_where	I_where
596	|	How high is our external workforce spend in North America	|	HR	|	Lookup	|	Numeric	|	O	O	O	O	B_where	I_where	mea	O	B_where	I_where
597	|	Which location hired the most women during the last year	|	HR	|	Lookup	|	Location	|	O	res	B_where	O	argm	B_where	O	O	B_where	I_where
598	|	Which employee has the highest salary	|	HR	|	Lookup	|	Person	|	O	res	O	O	argm	mea
599	|	Which employee has the biggest wage	|	HR	|	Lookup	|	Person	|	O	res	O	O	argm	mea
600	|	Which are the top three employees with the highest salary	|	HR	|	Lookup	|	Person	|	O	O	O	argm	argm	res	O	O	argm	mea
601	|	Which job role has the most diversity of employees	|	HR	|	Calculate	|	Person	|	O	res	O	O	O	argm	oper	O	O
602	|	Which job position has the biggest gender diversity among their workers	|	HR	|	Calculate	|	Person	|	O	res	O	O	O	argm	mea	mea	O	O	O
603	|	Which department has the lowest gender diversity among its employees	|	HR	|	Calculate	|	Person	|	O	res	O	O	argm	mea	mea	O	O	O
604	|	Which department hired the most people during the last four years	|	HR	|	Lookup	|	Person	|	O	res	B_where	O	argm	O	O	O	B_where	I_where	I_where
605	|	Compared to last year how many new hirings did we had so far	|	HR	|	Comparison	|	Numeric	|	O	O	cmp	cmp	O	oper	O	B_where	O	O	O	O	O
606	|	How many people have joined the company since last year	|	HR	|	Lookup	|	Numeric	|	O	oper	O	O	B_where	O	O	B_where	I_where	I_where
607	|	In comparison to Russia which country has hired more people over the last four months	|	HR	|	Comparison	|	Location	|	O	O	O	cmp	O	res	O	B_where	oper	O	O	O	B_where	I_where	I_where
608	|	What is the average salary in Germany compared to India	|	HR	|	Comparison	|	Numeric	|	O	O	O	oper	mea	O	cmp	O	O	cmp
609	|	What is the difference between Germany and France in salary on average	|	HR	|	Comparison	|	Numeric	|	O	O	O	O	O	cmp	O	cmp	O	mea	O	oper
610	|	Which country has the highest salaries on average	|	HR	|	Lookup	|	Location	|	O	res	O	O	argm	mea	O	oper
611	|	Compared to France which countries have higher incomes on average	|	HR	|	Comparison	|	Location	|	O	O	cmp	O	res	O	oper	mea	O	oper
612	|	Which countries have higher incomes on average than the United States	|	HR	|	Comparison	|	Location	|	O	res	O	oper	mea	O	oper	O	O	cmp	cmp
613	|	How many countries have higher incomes on average than Spain	|	HR	|	Comparison	|	Numeric	|	O	oper	grpby	O	oper	mea	O	oper	O	cmp
614	|	Which countries have rising employee numbers	|	HR	|	Calculate	|	Location	|	O	res	O	oper	O	oper
615	|	How many people are working for SAP	|	HR	|	Lookup	|	Numeric	|	O	oper	O	O	O	O	O
616	|	How many women are working at SAP	|	HR	|	Lookup	|	Numeric	|	O	oper	B_where	O	O	O	O
